user,distance,width,movement_time
3,75,18,407
3,75,20,409
3,120,6,648
3,120,8,686
3,120,10,578
3,120,14,568
3,120,18,441
3,120,20,513
3,160,6,662
3,160,8,688
3,160,10,945
3,160,14,656
3,160,18,458
3,160,20,517
3,210,6,792
3,210,6,893
3,210,8,694
3,210,10,740
3,210,14,629
3,210,18,546
3,210,20,593
3,40,6,447
3,40,8,456
3,40,10,442
3,40,14,312
3,40,18,247
3,40,20,238
3,60,6,456
3,60,8,528
3,60,10,374
3,60,10,493
3,60,14,398
3,60,18,409
3,60,20,280
3,75,6,610
3,75,8,482
3,75,10,552
3,75,14,574
3,75,18,360
3,75,20,380
3,120,6,576
3,120,8,643
3,120,10,476
3,120,14,504
3,120,18,470
3,120,20,429
3,160,6,717
3,160,8,569
3,160,10,713
3,160,14,623
3,160,18,576
3,160,20,523
3,210,6,775
3,210,8,1013
3,210,10,682
3,210,14,586
3,210,18,504
3,210,20,582
3,40,6,489
3,40,8,446
3,40,10,384
3,40,14,382
3,40,18,247
3,40,20,283
3,60,6,561
3,60,8,480
3,60,10,574
3,60,14,354
3,60,18,416
3,60,20,304
3,75,6,480
3,75,8,569
3,75,10,473
3,75,14,418
3,75,18,370
3,75,20,395
3,120,6,665
3,120,8,677
3,120,10,546
3,120,14,520
3,120,18,506
3,120,20,527
3,160,6,717
3,160,6,705
3,160,8,653
3,160,10,704
3,160,14,522
3,160,18,430
3,160,20,568
3,210,6,793
3,210,8,744
3,210,10,638
3,210,14,624
3,210,18,544
3,210,20,611
3,40,6,599
3,40,8,363
3,40,10,478
3,40,14,330
3,40,18,226
3,40,20,277
3,60,6,415
3,60,6,613
3,60,8,584
3,60,10,472
3,60,14,368
3,60,14,423
3,60,18,357
3,60,20,264
3,75,6,512
3,75,6,613
3,75,8,437
3,75,10,513
3,75,14,408
3,75,18,344
3,75,18,390
3,75,20,441
3,120,6,679
3,120,6,615
3,120,6,639
3,120,6,702
3,120,8,642
3,120,10,480
3,120,14,497
3,120,18,536
3,120,20,436
3,160,6,668
3,160,8,691
3,160,10,605
3,160,14,600
3,160,18,537
3,160,20,712
3,210,6,880
3,210,8,730
3,210,10,608
3,210,14,617
3,210,18,520
3,210,20,630
